Terms,TOP,BOT
21st,4,1
21stcentury,1,1
220foot,0,1
225,1,0
22ab,1,0
230000,0,1
23ab,1,0
23rd,1,0
2450,0,1
249,3,0
24th,1,0
250,1,2
25000,3,0
250000,2,0
25ab,1,0
25percent,1,0
26000,0,1
26244volunteer,1,0
26yearold,1,0
2700,0,2
275,1,0
27yearold,1,0
2ab,1,0
2butoxyethanol,0,1
2did,1,0
300,9,1
3000,3,0
30000,1,1
300000,0,5
30day,3,0
30s,2,1
30second,1,0
30sthe,1,0
30where,1,0
314,1,0
321,1,0
321ab,1,0
3249,1,0
327,1,0
328489audience,1,0
3400,1,0
3481,1,0
3481volunteer,1,0
350,1,2
3600,0,1
36story,0,1
374,1,0
375,0,1
37arthur,1,0
3876,1,0
38760,2,0
38931,2,0
3ab,1,0
3dprint,0,1
400,1,2
4000,1,5
40000,1,0
400000,0,1
400pound,1,0
405,0,1
4050,0,1
407,0,1
40s,0,2
44875,1,0
450unit,0,1
457,1,0
457ab,1,0
466,1,0
466489,1,0
476,1,0
47ab,1,0
4th,0,1
500,7,6
5000,3,4
50000,1,2
50000word,1,0
50now,0,1
50s,1,1
50x15,0,3
50year,0,3
50yearold,1,0
513284volunteer,1,0
529,1,0
529volunteer,1,0
540,0,1
54pm,1,0
54th,1,0
57000,2,0
57683,1,0
594,1,0
59ab,1,0
600,0,1
6000,1,2
60000,0,1
600foot,0,2
60s,0,2
650,0,1
65000,0,1
650mile,0,1
666,1,0
670,0,1
67000,0,1
677,1,0
683,4,0
6good,1,0
6same,1,0
700,1,0
7000,0,1
7003,0,2
708,1,0
70s,0,2
71530,0,1
722,1,0
722ab,1,0
724,2,0
727,0,1
747s,0,2
75year,2,0
75yearold,1,0
7600,0,1
77822,1,0
77862,2,0
79cent,0,1
800,0,2
8000,0,2
80000,0,2
800000,0,1
80percent,0,1
80s,6,3
80yearold,0,1
8500,0,1
85th,1,0
8649,1,0
8649ab,1,0
886,1,0
89¢,0,1
8900,0,1
8hour,0,1
8inch,1,0
900,0,1
90degree,0,1
90page,1,0
90s,4,2
90year,1,0
911,3,3
915,0,3
93ab,1,0
93day,0,1
9400,0,1
9500,0,2
9527,0,2
974169laughterab,1,0
975,0,1
9758,1,0
987,1,0
987ab,1,0
996,2,0
997,2,0
aah,1,0
abashedly,0,1
abate,1,0
abdication,0,1
abduction,1,0
abdul,1,0
aberration,1,0
abilities,1,0
abilitiesthink,1,0
ability,26,7
abject,1,0
able,42,71
ablebodied,1,0
abnormalities,1,0
abolishing,1,0
abomb,1,1
aborigines,1,0
abortion,1,0
aboutembedded,1,0
abouti,1,0
aboutph,0,1
aboutsay,1,0
aboutthe,1,0
abraham,1,0
abroad,0,1
abroadbut,0,1
abruptlybritish,1,0
absence,3,1
absolute,3,10
absolutely,11,17
absorb,0,1
abstract,1,3
abstractbut,1,0
abstractioni,0,1
abstractly,1,0
absurd,0,1
absurdyet,0,1
abundance,0,2
abundant,0,3
abuse,2,2
abused,3,0
abusers,1,0
abuses,0,1
abyss,0,2
abyssbut,0,1
academia,1,1
academic,5,1
academics,1,1
academy,1,0
acapulco,0,1
accelerate,2,1
acceleration,2,1
accent,3,0
accept,3,2
acceptance,2,0
accepted,5,1
accepting,1,0
accepts,0,1
access,13,11
accesses,1,0
accessibility,0,1
accessible,2,9
accessories,0,2
accident,1,6
accidentally,1,0
accidents,1,3
acclaim,1,0
accommodate,1,0
accommodated,0,1
accompanied,0,1
accomplice,0,1
accomplish,0,2
accomplished,1,1
accomplishedthe,0,1
accomplishment,0,2
according,6,5
accordingly,1,0
accords,0,1
account,4,5
accountability,0,1
accountable,0,2
accountants,0,1
accounting,2,1
accounts,2,3
accrue,1,0
accumulated,1,0
accurate,5,5
accused,2,0
ace,1,0
aceh,0,1
achebe,2,0
achievable,0,3
achieve,11,9
achieveand,0,1
achieved,0,4
achievement,4,0
achieving,1,1
achilles,1,0
acidification,0,1
acidwashed,1,0
acknowledge,1,2
acknowledges,1,0
acknowledging,1,0
acoustics,1,1
acquiring,1,0
acres,0,2
acrobatic,1,0
acronyms,0,1
across,31,33
acrylic,1,0
act,21,20
acting,1,1
action,6,17
actions,5,3
actionsaint,0,1
actionso,1,0
activated,1,0
active,2,2
actively,2,0
activists,0,1
activities,4,3
activity,3,1
activitylaughterthink,0,1
activitylet,0,1
actor,0,2
actors,3,4
actress,1,0
acts,8,2
actual,2,5
actually,138,168
actuallythe,0,1
adafruit,0,1
adage,1,0
adam,3,1
adapt,2,6
adaptation,2,2
adaptations,0,1
adapting,0,2
adaptive,0,2
adapts,0,2
add,10,8
added,2,6
addicted,1,0
addiction,2,1
adding,2,0
addition,1,9
additional,3,0
addon,0,1
addons,0,1
address,5,9
addressed,0,5
addresses,0,2
addressing,0,2
adds,1,1
adept,1,0
adequate,1,0
adequately,1,1
adhd,4,0
adhere,1,0
adit,0,2
adjust,0,2
adjusted,1,0
adjusting,1,0
adjustments,1,0
administrative,0,1
administrator,1,0
admiral,0,2
admire,2,1
admired,0,1
admit,5,3
admittedly,1,0
adoapplausethank,1,0
adobe,0,1
adolescence,2,0
adolescent,1,0
adopt,1,1
adopted,1,1
adopters,2,0
adopting,0,1
adore,2,0
adrenaline,2,0
ads,1,0
adult,7,3
adulterous,3,0
adultery,3,0
adulthood,4,0
adulthoodleonard,1,0
adults,9,6
advance,2,1
advanced,1,1
advancement,2,0
advancenow,1,0
advancing,1,0
advantage,3,3
advent,0,1
adventure,5,2
adventureland,1,0
adventures,0,1
adventurous,1,0
adverb,0,1
adverse,1,0
adversity,1,2
advertisement,0,1
advertising,1,5
advice,8,1
advil,1,0
advise,0,1
advised,0,1
advisor,1,0
advisors,0,2
advocate,1,0
aed,0,5
aed4eu,0,1
aed4us,0,1
aeds,0,4
aerial,0,1
aerocene,0,2
aerodynamic,1,0
aerographsfinally,0,1
aeronautics,0,2
aerosolar,0,1
aerospace,0,1
aesthetic,1,0
aesthetics,0,1
afarthe,1,0
affair,25,1
affairs,14,3
affect,5,6
affected,1,4
affection,2,1
affectionately,1,0
affectiononce,0,1
affective,1,0
affects,1,1
affirmation,0,2
affirmative,1,0
affirming,0,4
affliction,1,0
affluence,1,0
affluent,2,0
afford,4,8
affordability,0,2
affordable,1,6
afforded,0,1
afghanistan,1,2
afloat,0,1
aflow,0,1
afoothe,1,0
afraid,20,8
africa,35,68
africabut,0,1
african,19,18
africanbut,1,0
africans,4,8
africas,0,1
africaso,0,1
afrigator,0,1
afrikaans,0,1
afterlife,0,2
aftermath,2,0
afternoon,3,3
afternowadays,1,0
afterward,1,0
afterwards,3,1
againand,1,0
againanother,0,1
againexcellent,1,0
againlaughteranother,0,1
againlaughteryoure,1,0
againmusicoh,1,0
againok,1,0
againsettling,1,0
againshe,0,1
againso,1,1
againwe,0,1
againwhen,0,1
agape,0,1
agbaosi,0,1
age,26,16
agefor,1,0
ageits,0,1
agelady,0,1
agencies,2,0
agency,1,0
agenda,0,1
agendas,0,1
agent,1,0
agentprovocateur,0,1
agents,2,0
aggrandize,1,0
aggregator,0,1
aggression,1,0
aggressive,4,3
agile,2,0
agility,1,1
aging,2,1
agnostic,0,4
ago,53,44
agonized,0,1
agonizing,1,0
agonyvideo,1,0
agowhen,1,0
agree,4,5
agreed,2,1
agreedfocusing,0,1
agreedlaughteri,1,0
agreedupon,1,0
agreement,1,10
agreements,0,3
agreementthird,0,1
agrees,1,1
agricultural,1,0
agriculture,1,2
aha,2,2
ahead,14,7
aheadfivesevensixeightthree,1,0
ahh,1,0
ahhhh,1,0
ahhhhh,1,0
ahs,1,0
aid,4,5
aida,1,0
aids,1,9
aim,0,2
aimed,0,1
aimee,0,1
aiming,1,0
aint,2,3
air,18,42
airand,0,1
airbreathing,0,1
airconditioning,0,1
aired,1,1
airplane,5,9
airplanes,1,3
airplaneso,1,0
airport,8,2
airrhythmic,0,1
airstream,0,6
airstreamthis,0,1
airtimecase,0,1
aisle,7,1
akin,1,0
alabama,1,1
alaikumi,1,0
alarm,1,0
alarmed,0,1
alarming,1,0
alaska,1,2
albanians,0,1
albatross,0,2
albeit,1,0
albuquerque,0,1
albuquerques,0,1
alchemy,2,0
alcohol,1,1
alcoholic,1,0
alcoholism,1,0
aldrich,1,0
alex,9,1
alexander,0,10
alexanders,0,1
alexnow,1,0
alexs,3,0
alfalfa,0,1
alfred,2,0
algae,4,8
algorithm,0,2
algorithms,14,5
ali,0,3
aliapplauseapplause,1,0
alice,1,0
alien,5,1
aliens,3,0
alifrazier,1,0
align,1,0
alike,6,2
alilaughtercp,1,0
alive,15,5
aliveand,0,1
aliveness,1,0
aliveshe,1,0
allah,10,0
allapplausethank,0,1
allaudience,1,0
allbut,0,1
allegations,1,0
allegiance,1,0
allhands,1,0
alliance,1,0
allied,0,1
allies,0,3
alliesim,0,1
allimportant,0,1
allnighters,2,0
allnumber,0,1
allocation,1,0
allotments,0,1
allow,16,8
allowance,0,1
allowed,5,18
allowing,4,1
allows,11,7
allthank,0,1
alltoocommon,1,0
alluding,1,0
allure,0,1
allwe,0,1
allwhat,0,1
ally,0,1
alma,1,1
almighty,1,2
almost,35,22
almostkb,1,0
alone,16,14
alonealready,0,1
alonethank,1,0
aloneto,0,1
along,21,29
alongside,2,0
aloof,1,0
aloud,1,0
alousa,0,1
alpha,3,0
alphabet,0,2
alphas,1,0
already,30,42
alreadylaughterhe,1,0
alright,1,2
also,140,174
alter,1,2
altered,0,1
alternative,3,8
alternatives,2,0
although,8,13
altitude,2,3
altitudes,0,1
altruism,0,5
alum,0,1
aluminum,0,3
alums,0,1
always,82,56
alwayson,0,2
amand,1,0
amanda,2,0
amaze,0,1
amazed,3,2
amazedthanksapplause,1,0
amazing,34,10
amazinglaughterno,1,0
amazingly,3,3
amazingness,0,2
amazingnow,1,0
amazingwe,0,1
amazon,3,0
ambady,1,0
amberjacks,0,1
ambiguity,1,0
ambition,5,0
ambitionevery,1,0
ambitions,0,2
ambitious,2,1
ambivalent,1,0
ambiverts,1,0
ambling,0,1
ambulance,1,1
ambushed,0,1
amd,0,5
amendment,0,1
america,28,28
americaand,1,0
americaconvenience,0,1
americahail,0,2
american,27,20
americans,8,7
americansso,0,1
americas,2,5
americatheres,1,0
americawhen,1,0
americawhose,0,1
ames,1,0
amlaughterso,1,0
amnesia,1,0
amnesiac,4,0
amnesiacs,1,0
amnok,1,0
among,6,15
amongst,0,3
amount,6,9
amounts,4,2
amplified,1,1
amplifier,1,0
amso,1,0
amusingly,0,1
amy,6,0
amys,1,0
analog,0,1
analogy,1,1
analysis,2,2
analysisamerican,1,0
analysts,0,2
analytic,0,1
analytical,2,0
analyze,2,1
anarchy,0,1
ancestor,1,2
ancestors,2,0
anchor,0,1
anchoring,1,0
anchors,1,0
ancient,11,4
anderson,8,3
andrew,1,0
android,1,0
andtelephone,1,0
andy,0,1
anecdote,0,3
anesthesia,0,2
anesthesiologistit,0,1
anesthesiology,0,2
aneurysm,0,1
angel,3,2
angeles,4,1
angels,0,2
anger,3,1
angercruelty,1,0
angle,1,2
angles,0,1
angleswhat,0,1
angry,5,2
anguish,1,2
anguishand,1,0
aniboom,0,1
animadu,0,1
animal,15,12
animally,1,0
animals,7,21
animalslaughterbut,0,1
animate,1,0
animation,0,3
animations,1,0
animosity,0,1
ankles,1,1
ann,0,1
anne,1,0
annegeorge,1,0
annestyle,0,1
anniversary,2,0
annotation,1,0
annotations,1,0
announced,1,0
announcement,1,1
announcing,0,2
annoyed,1,1
annoying,1,2
annual,1,2
anomaly,3,0
anonymity,0,1
anonymitywere,0,1
anonymous,1,1
anonymously,1,0
another,80,78
anotherfor,1,0
anotherme,0,1
anothers,0,1
anotherso,1,0
anotherthats,1,0
answer,47,20
answered,1,5
answering,0,4
answers,7,4
answerso,1,0
answerwork,1,0
ant,0,1
antarctic,0,1
antarctica,0,2
ante,2,0
antenna,0,1
anterograde,1,0
anthony,1,0
anthropocene,0,3
anthropology,1,1
antiaphrodisiaclaughteri,1,0
antibullying,1,0
anticapitalist,0,1
anticipate,0,1
anticipating,0,1
anticipation,1,0
antidepressants,4,0
antidote,2,0
antifear,1,0
antiinflammatory,1,0
antimalarial,0,1
antisocial,1,0
antivaxxing,1,0
antiwar,0,1
ants,0,1
anxiety,7,0
anxious,4,0
anxiousanyway,1,0
anybody,26,11
anybodys,1,1
anybodywell,0,1
anybodyweve,1,0
anyhow,1,0
anymore,9,5
anymorelaughterwe,1,0
anymorewhat,0,1
anyone,19,17
anyonehow,1,0
anything,56,35
anythingnicole,1,0
anytime,2,1
anyway,8,11
anyways,0,2
anywaywork,1,0
anywhere,7,5
aol,0,1
apart,3,1
apartheid,0,1
apartment,3,0
apathy,1,1
aping,1,0
apnea,2,0
apologies,2,0
apologize,3,1
apologized,0,1
apology,0,1
app,1,3
apparelso,0,1
apparent,0,2
apparently,7,3
appealing,0,1
appear,5,4
appearance,1,0
appeared,2,3
appearing,3,2
appears,2,4
appearslaughterwhat,0,1
applauding,1,0
applause,20,32
applause10,1,0
applauseamy,1,0
applauseapplause,1,0
applauseapplausethank,1,0
applauseapplausethats,1,0
applauseat,1,0
applausebut,0,3
applausecheeringlebanese,1,0
applausechris,0,1
applausefinal,0,1
applausefranco,0,1
applausei,2,0
applausej,1,0
applauselaughter,1,0
applausethe,0,1
applausewho,1,0
apple,13,7
apples,1,2
appleslaughterand,1,0
application,0,2
applications,0,3
applied,1,3
applies,1,0
apply,5,2
applying,1,5
appointed,0,1
appreciate,4,8
appreciated,1,0
appreciates,1,0
appreciating,0,2
appreciation,2,3
apprentice,1,0
approach,5,15
approached,1,1
approaches,1,4
approaching,2,0
approachthe,1,0
appropriate,5,4
appropriately,0,3
approval,1,0
apps,1,0
apricot,0,2
april,3,0
aprillaughterthats,0,1
aquarium,0,1
arab,9,3
arabamerican,1,0
arabamericans,1,0
arabia,2,0
arabic,3,1
arabicrainbowlaughterimitating,1,0
arabicstrawberrylaughterimitating,1,0
arabicthey,1,0
arabictutti,1,0
arable,0,2
arabs,5,0
arabsnext,0,1
arandalasch,0,1
aravind,0,4
aravindand,0,1
arbitrary,0,1
arborist,1,0
arbus,1,0
arch,1,0
archeology,0,1
architect,0,4
architects,1,6
architectural,1,8
architecturally,0,1
architecture,0,18
architectures,1,1
archive,1,0
arctic,0,1
ardor,1,0
arduous,0,1
area,6,26
areapplausenow,0,1
areas,2,22
arefrom,1,0
arehello,1,0
arei,2,0
arelaughterit,1,0
aren’t,0,1
arena,1,2
arenow,0,1
arent,24,9
arentlaughterso,0,1
arentthirsthere,0,1
arewe,1,0
arewith,0,1
arguably,0,1
argue,2,4
argument,4,1
arguments,1,1
ariely,1,0
arise,1,1
aristotelian,0,4
aristotle,0,2
aristotle’s,0,1
arizona,1,2
arizonathen,0,1
ark,0,6
arkansas,0,1
arm,13,9
armchair,1,0
armed,1,0
armies,1,0
armor,0,2
arms,5,4
armso,1,0
armstrong,1,2
army,2,1
arnon,0,1
aroma,0,1
aron,1,0
arose,1,1
around,92,94
aroundin,1,0
aroundlaughterhabibi,1,0
aroundso,1,0
aroundthank,1,0
arousal,3,0
arousing,1,0
arpa,0,1
arrange,0,2
arranged,1,0
arrangement,1,2
arrangements,0,1
arranging,0,1
array,1,2
arrest,0,7
arrested,4,1
arrival,1,0
arrive,3,2
arrived,6,4
arrives,0,2
arriving,1,1
arrogant,0,1
arrow,1,2
arrows,2,1
arse,0,1
arsenal,0,1
arsenic,0,2
arsonist,1,0
art,15,15
artery,1,0
artesian,0,1
arthur,0,1
article,3,1
articles,1,0
articulation,1,0
artifacts,0,2
artificial,4,2
artificially,1,0
artillery,0,1
artist,7,1
artistic,1,0
artistry,1,0
artists,8,0
arts,4,4
arvs,0,1
asanga,0,4
ascend,1,0
ascension,0,1
ascent,0,3
ash,2,0
ashamed,2,1
ashes,0,1
asia,10,2
asiaand,1,0
asian,1,0
asians,1,0
aside,4,2
ask,64,32
askand,0,1
asked,41,23
askedlaughterand,1,0
asking,33,8
asks,3,3
asleep,1,1
asneeded,1,0
asparagus,0,1
aspca,0,2
aspect,2,5
aspects,5,5
aspen,1,0
asphalt,0,1
aspirate,0,1
aspirations,0,1
aspire,0,1
aspiring,1,1
ass,1,1
assad,0,1
assassinated,0,2
assault,0,1
assaulted,0,1
assemble,0,2
assembled,1,4
assembly,0,2
assertive,4,0
assessed,1,0
assessing,0,1
assessment,1,0
assessmentso,0,1
asset,1,0
assholes,1,0
assign,3,0
assigned,3,0
assignment,1,2
assignments,2,1
assimilate,0,1
assist,1,0
assistance,0,1
assistant,0,1
assistants,3,0
assisted,0,1
associate,1,0
associated,8,2
associates,1,0
association,1,0
assume,3,1
assumed,3,0
assumes,1,0
assuming,3,0
assumption,4,1
assumptions,4,0
assurance,0,1
assure,3,2
assured,1,0
astonished,1,1
astonishment,0,1
astray,0,1
asu,2,0
asylum,3,0
asymmetrical,1,0
atari,0,1
ate,3,0
athens,0,1
athlete,3,0
athletes,4,0
athletic,2,0
athleticism,5,0
atif,0,1
atilla,0,1
atlantic,2,2
atlassian,2,0
atm,1,3
atmosphere,0,8
atmospheric,0,1
atms,0,2
atom,0,2
atomic,1,4
atoms,2,0
attach,2,3
attached,5,2
attachment,12,0
attack,5,1
attacked,0,2
attackso,1,0
attain,0,1
attempt,10,0
attempted,2,0
attempting,0,1
attend,2,0
attendancethe,0,1
attendant,2,0
attention,24,7
attentionlaughterapplausenow,1,0
attire,0,1
attitude,1,1
attitudes,1,6
attract,3,5
attracted,2,0
attractive,3,4
attractivethird,1,0
attributable,1,0
attribute,0,2
atwood,1,0
aubrey,0,1
auckland,1,0
audacious,0,1
auden,1,0
audi,0,1
audience,15,18
audiencekb,1,0
audiences,0,2
audio,1,0
audiovisuals,0,1
audit,1,0
auditioned,1,0
augerloizeau,0,1
augment,2,0
augmented,0,1
augugliaro,1,0
august,2,2
augustine,0,2
aung,0,1
auschwitz,5,0
australia,3,3
australian,3,1
australians,1,0
ausubel,0,1
authentic,2,1
authentically,2,0
authenticate,1,0
authenticity,4,2
author,3,1
authorities,2,1
authority,4,1
authorization,1,0
authors,0,1
authorsmy,1,0
autobiographical,1,0
autographs,1,0
automate,1,0
automated,0,2
automatic,1,1
automatically,4,5
automobile,0,1
autonomic,1,0
autonomous,0,1
autonomously,1,1
autonomy,13,0
autonomysome,1,0
autumn,0,1
availability,0,1
available,11,11
availableon,1,0
avatar,0,3
avec,1,0
avenue,0,2
average,20,11
averageand,1,0
averages,3,0
avert,2,0
averted,0,1
avian,0,2
aviation,0,8
avoid,6,1
avuncular,0,1
awaiting,1,0
awake,2,0
awaken,1,0
awakened,0,1
awakening,1,0
awakeninglaughtera,1,0
awarded,0,1
awards,0,2
aware,14,13
awareness,1,5
awarewe,1,0
away,47,44
awaylaughterbesides,0,1
awaylaughterso,1,0
awaystill,0,1
awaywhat,0,1
awe,1,2
awesome,8,2
awful,4,7
awfullaughterat,1,0
awfullaughterbut,1,0
awfulstill,0,1
awkward,4,0
awkwardlaughterwell,1,0
awkwardly,1,0
awning,0,1
aww,1,0
axis,4,1
axises,1,0
axonal,1,0
aye,4,0
ayeaudience,2,0
ayeits,1,0
ayeor,1,0
ayeso,1,0
ayetr,3,0
babbled,0,1
babel,0,1
babies,5,16
babiesi,0,1
babiesthen,0,1
baby,9,11
babys,0,1
bachelors,1,0
back,162,114
backand,1,0
backanother,0,1
backapplausei,1,0
backapplausethis,0,1
backbeatboxif,1,0
backbone,0,2
backbut,1,1
backed,1,0
backer,1,0
backfire,0,1
background,10,5
backing,1,1
backkb,1,0
backmedea,0,1
backnever,0,6
backpack,1,1
backpedal,1,0
backrooms,0,1
backs,2,1
backsmw,0,1
backso,3,1
backstage,2,0
backward,0,1
backwards,6,2
backyard,0,2
backyards,0,1
bacon,0,1
bactarian,0,1
bacterium,0,2
bad,43,46
badand,1,0
badfitting,1,0
badge,0,1
badlaughterit,1,0
badly,3,2
bag,0,3
baggage,1,0
bags,0,3
bagsin,0,1
bailing,0,1
bailout,1,0
bait,0,1
bakare,1,0
balaclava,0,1
balance,7,6
balanced,2,0
balancenow,1,0
balances,0,1
balancing,2,1
balding,0,1
baldness,0,1
balkan,0,1
balkans,0,2
balked,0,1
ball,11,6
ballapplausemachines,1,0
ballet,6,0
balloon,3,1
balls,0,2
ballsy,0,1
balogun,0,1
balsamic,1,0
bambi,0,2
bamboo,2,0
ban,0,1
banal,0,2
banana,2,0
bananas,2,1
band,9,6
bandaids,1,0
bands,0,2
bandwagoning,0,1
bang,3,0
bangladesh,3,0
bank,4,14
banker,2,1
bankers,2,1
banking,1,0
banks,1,7
banned,0,1
banner,1,0
banteringly,0,1
bar,5,4
barack,0,1
baragwanath,0,1
barall,0,1
barclays,0,1
barcode,0,2
barcoded,0,1
barcoding,0,3
bard,1,0
bare,0,1
barely,1,4
barges,0,1
barghouti,1,0
bark,2,0
barking,0,1
barn,1,0
barnacles,0,1
barnwell,1,0
barr,1,0
barracuda,1,0
barred,0,1
barrel,2,3
barreling,1,0
barrels,0,1
barren,0,2
barricades,0,1
barrier,1,2
barriers,1,0
barring,1,0
barry,1,0
bars,3,1
base,1,8
baseball,0,1
based,7,16
basel,0,2
baseline,1,3
baselineand,0,1
baselinehow,0,1
baselines,0,1
basement,1,1
bash,0,1
basic,5,8
basically,30,27
basicallylaughtermy,1,0
basin,0,2
basis,1,6
basket,1,1
basketball,0,1
basketsand,0,1
bassists,1,0
bastard,0,1
bat,0,2
batches,0,1
bath,1,1
bathe,0,1
bathed,0,1
bathing,0,1
bathroom,4,5
bathrooms,1,1
bats,0,1
batted,0,1
battered,0,2
batteries,1,4
battery,1,5
batterypowered,1,1
battle,2,2
battlefield,0,2
battles,0,2
baubles,0,1
baumgartel,0,1
bawling,1,0
bay,0,4
bbc,1,1
bbut,0,1
bea,0,1
beach,3,7
beacon,0,2
beads,0,1
bean,0,1
beans,1,1
beanswestern,1,0
bear,4,5
bearbank,1,0
bearing,1,0
bears,0,1
beast,0,3
beasts,1,0
beat,11,2
beatboxer,1,0
beatboxing,5,0
beaten,0,7
beatingheart,1,0
beatlaughterwaiting,1,0
beatles,1,0
beatleslaughter,1,0
beatlesokay,1,0
beats,5,0
beaudience,1,0
beautiful,18,33
beautifuland,1,0
beautifully,4,4
beautifulmy,1,0
beauty,2,8
beautythis,0,1
beaverlaughterlaughter,1,0
bebut,0,1
became,24,29
become,45,39
becomeit,1,0
becomes,10,18
becoming,8,7
bed,17,11
bedouin,0,8
bedouins,0,1
bedroom,0,2
beds,2,0
bee,3,0
beenlaughterour,1,0
beenso,1,0
beenwhen,1,0
beep,1,0
beepbeepbeepbeep,1,0
beepkt,1,0
beer,5,1
beers,2,0
beerthey,1,0
bees,1,5
befallen,1,0
beforelady,0,1
beforelaughteryouve,1,0
beforenow,0,1
beg,0,1
began,22,32
begets,1,0
begged,0,2
begging,1,1
begin,7,7
beginning,19,26
beginningcivil,0,1
beginnings,0,1
begins,7,7
begun,1,2
behalf,1,0
behalflaughterapplausecrazy,1,0
behave,4,3
behaving,1,0
behavior,25,4
behavioral,2,0
behaviorand,2,0
behaviors,2,1
behind,15,15
behold,3,3
bei,0,1
beijing,1,1
beings,11,15
beingso,0,1
beingspeople,0,1
belaughtermust,1,0
belfast,0,1
belgium,2,0
belief,14,3
beliefs,8,1
believable,1,0
believe,70,60
believebut,1,0
believed,24,6
believeheres,1,0
believenow,1,0
believes,2,1
believing,2,2
bell,2,2
bellows,0,3
bells,0,2
bellwether,0,2
belong,1,0
belonging,8,0
belongings,0,1
belonglaughter,0,1
belongs,2,1
beloved,3,1
bemusicmusic,1,0
ben,2,3
bench,1,2
bend,1,1
bends,0,2
beneath,2,1
beneathmore,0,1
beneficiariesbut,1,0
beneficiary,0,2
benefit,2,6
benefits,8,3
benes,1,0
benign,2,0
benignly,1,0
benjamin,2,0
bent,0,1
bento,1,1
bereaved,0,1
beret,1,0
beretnow,1,0
berkeley,2,1
berlin,1,4
bernard,1,0
bernerslee,0,1
bernie,0,1
bernstein,1,0
berries,0,1
berry,0,2
berrys,0,1
beryllium,0,2
beside,1,3
besides,4,2
besser,0,1
best,61,42
bestfitting,1,0
bestseller,1,0
bestwho,1,0
bet,0,4
betheres,0,1
betray,2,0
betrayal,7,0
bets,0,1
better,84,87
betterall,1,0
betterlaughteri,1,0
betterment,0,1
bettersome,1,0
betterthere,0,1
betthis,1,0
bewildered,1,0
beyoncé,2,0
beyond,3,13
beyou,0,1
bezos,0,3
bhabha,1,0
bias,5,3
biases,1,6
bible,3,1
biblical,1,0
biblically,0,1
bicker,1,0
bickerings,1,0
bickham,2,0
bicycle,1,1
bicycles,0,1
biding,0,1
biebers,1,0
bifurcation,1,0
big,53,84
bigapplausei,1,0
bigbonedlaughteri,1,0
bigbox,0,1
bigelovii,0,1
bigfin,0,1
bigger,12,15
biggerit,0,1
biggest,5,8
bighorn,0,1
bigness,0,3
bigpicture,0,1
bigsize,1,0
bike,1,1
bikelaughteryouve,1,0
bikes,1,1
bikini,1,0
bill,5,2
billboards,0,1
billie,2,0
billion,8,12
billionaires,1,0
billions,1,8
billor,0,1
bills,1,1
bimbo,1,0
bin,0,2
bind,1,0
binding,1,0
binging,0,1
bingo,1,0
binocular,0,1
binspears,0,1
biochemically,0,1
biodiversity,0,5
biofuels,0,3
